Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#E037;37;-3401.532512867181;-4571.675947548627;7.7578568791905935;WBS;6.89;2019-07-04 19:52:48.880000;WMF;7.36;2019-07-04 19:52:49.330000;
#E038;38;-2324.6446757680997;656.5864514417401;8.011186854742034;WBS;7.38;2019-07-04 19:53:53.950000;WMF;6.92;2019-07-04 19:53:53.130000;
#E039;39;-3585.2319760051937;1707.4628040951482;6.286014323260485;WBS;7.26;2019-07-04 19:58:10.230000;WMF;6.65;2019-07-04 19:58:09.660000;
#E040;40;-2653.2099230514423;1581.8923025140514;7.441626036164608;WBS;7.39;2019-07-04 20:05:02.210000;WMF;6.78;2019-07-04 20:05:01.350000;
#E041;41;-3380.530360372877;-1319.2175847006401;7.126062144942996;WBS;7.1;2019-07-04 20:09:54.520000;WMF;7.0;2019-07-04 20:09:53.460000;
#E042;42;-5681.287330601661;-12884.271666403309;5.779273732300833;WBS;5.96;2019-07-04 20:13:37.650000;WMF;7.91;2019-07-04 20:13:40.330000;
#E043;43;-2202.424351791048;-9447.149480165897;5.360022520962136;WBS;6.34;2019-07-04 20:23:18.480000;WMF;7.66;2019-07-04 20:23:19.760000;
#E044;44;-2914.709343620637;-2816.1200130500692;8.043199764695313;WBS;7.08;2019-07-04 20:29:44.040000;WMF;7.23;2019-07-04 20:29:44.190000;
#E045;45;-3139.9598559208775;-8788.84112813503;8.471075820239282;WBS;6.63;2019-07-04 20:30:17.860000;WMF;7.81;2019-07-04 20:30:19.400000;
#E046;46;-2171.8617488832706;-6502.718643837483;5.3745582032614125;WBS;6.58;2019-07-04 20:32:43.670000;WMF;7.38;2019-07-04 20:32:44.430000;
#E047;47;-2628.913369029434;-6688.609302897722;3.364472639744232;WBS;6.37;2019-07-04 20:34:40.800000;WMF;7.21;2019-07-04 20:34:41.880000;
#E048;48;-1632.2245181850647;-5476.647646488192;6.753911633504869;WBS;6.81;2019-07-04 20:37:38.850000;WMF;7.41;2019-07-04 20:37:39.610000;
#E049;49;-2313.2845322170247;-9050.41980377249;4.125313352406666;WBS;6.25;2019-07-04 20:49:51.410000;WMF;7.51;2019-07-04 20:49:53.610000;
#E050;50;-4823.91888721665;-13119.866431141301;6.513890877107356;WBS;6.05;2019-07-04 20:53:34.770000;WMF;8.02;2019-07-04 20:53:37.430000;
#E051;51;-2556.62506511645;-6014.756676565843;8.87613994085942;WBS;6.91;2019-07-04 20:54:54.470000;WMF;7.6;2019-07-04 20:54:55.050000;
#E052;52;-391.3356222672697;-792.3992919911598;10.724659074187933;WBS;7.57;2019-07-04 20:55:08.920000;WMF;7.32;2019-07-04 20:55:08.210000;
#E053;53;-21.70937908892737;1209.4311095031555;11.009802512530657;WBS;7.77;2019-07-04 20:55:35.880000;WMF;7.17;2019-07-04 20:55:34.920000;
#E054;54;-3030.5362933070596;-4188.019341024484;8.079233750898837;WBS;6.97;2019-07-04 20:57:21.920000;WMF;7.36;2019-07-04 20:57:22.320000;
#E055;55;-1556.7356266699992;-6443.303989395678;7.062045005766266;WBS;6.76;2019-07-04 20:58:19.010000;WMF;7.53;2019-07-04 20:58:20.400000;
#E056;56;-607.2833821333762;-5109.769301281152;10.890240903593728;WBS;7.23;2019-07-04 21:01:39.430000;WMF;7.72;2019-07-04 21:01:39.730000;
#E057;57;-1977.0555124524612;-10237.751821403377;5.254863884871564;WBS;6.27;2019-07-04 21:07:17.050000;WMF;7.73;2019-07-04 21:07:19.130000;
#E058;58;-6051.344246259748;4646.054117810398;2.333510036749474;WBS;7.06;2019-07-04 21:16:30.470000;WMF;6.01;2019-07-04 21:16:29.240000;
#E059;59;-1760.398811405383;-5370.365654610344;6.245790690379472;WBS;6.77;2019-07-04 21:23:08.670000;WMF;7.36;2019-07-04 21:23:09.580000;
#E060;60;-1516.7103957360064;-2233.679994975191;9.560720368844589;WBS;7.31;2019-07-04 21:25:59.340000;WMF;7.33;2019-07-04 21:25:59.560000;
