phase;date_clock;tsec;t0_loc;xloc;yloc;zloc;eigval_max;eigval_mid;eigval_min;eigvec_max_e;eigvec_max_n;eigvec_max_u;eigvec_mid_e;eigvec_mid_n;eigvec_mid_u;mom;fc_p;fc_s;rad;sd;mw;energy;src_nrcv;src_misfit;mom_sdev;fc_sdev;snr_loc;orthogonality;distance_rcv;noise_level_acc
1;23:04:19:16:04:42;230682.0;0.6679;335328.1;4263103.9;580.5;105.61;45.93;16.48;0.86985;-0.27943;-0.40655;0.28786;0.95676;-0.04169;2.5880e+06;154.9;123.1;6.14;4902.204;-1.725;2.3094e-01;5;0.2547;5.4855e+05;15.9;2.8;0.938;1534.7;2.0733e-06
1;23:04:19:16:04:52;230692.0;0.0797;335430.1;4263099.4;576.5;109.76;67.01;14.52;0.87558;-0.28559;-0.38961;0.30034;0.95353;-0.02400;4.7636e+06;131.5;113.7;6.90;6348.171;-1.548;5.6168e-01;11;0.2939;2.9240e+06;8.9;5.4;0.800;1503.5;2.4755e-06
1;23:04:19:16:05:04;230704.0;0.5475;335484.5;4263033.8;570.4;99.64;14.57;11.74;0.95356;-0.21463;-0.21134;0.20992;-0.02967;0.97727;3.4346e+06;132.7;120.1;6.53;5397.912;-1.643;3.6594e-01;11;0.2943;2.0559e+06;6.3;3.0;0.578;1482.5;2.7333e-06
1;23:04:19:16:05:05;230705.0;0.1035;335199.9;4263142.8;442.1;105.96;44.46;15.66;0.80417;-0.23141;-0.54750;0.25713;0.96589;-0.03057;1.1856e+07;154.8;95.1;7.04;14849.729;-1.284;3.1504e+00;11;0.3258;4.0302e+06;29.9;3.6;0.569;1453.4;4.2920e-06
1;23:04:19:16:05:14;230714.0;0.6195;335324.8;4263044.1;553.8;86.17;29.79;12.06;0.90547;-0.11247;-0.40923;0.11947;0.99280;-0.00851;4.6483e+07;172.1;112.5;6.06;91302.615;-0.888;7.7254e+01;11;0.3853;1.2868e+07;29.8;11.6;0.925;1507.1;3.3734e-06
1;23:04:19:16:05:22;230722.0;0.6558;335309.2;4263136.8;520.4;78.95;52.04;9.88;0.86278;-0.26907;-0.42802;0.28966;0.95697;-0.01772;2.1609e+06;143.6;140.0;6.04;4280.509;-1.777;1.6984e-01;9;0.1934;1.3247e+07;1.8;2.7;0.645;1486.2;3.3830e-06
1;23:04:19:16:05:30;230730.0;0.2199;335317.5;4263057.5;512.1;83.51;55.39;11.50;0.89690;-0.14717;-0.41703;0.15553;0.98773;-0.01409;7.4339e+06;135.4;101.4;7.19;8755.124;-1.419;1.1951e+00;11;0.3131;1.8608e+06;17.0;5.0;0.838;1470.2;2.2901e-06
1;23:04:19:16:05:31;230731.0;0.4861;335442.0;4263014.8;229.4;71.58;13.27;9.94;0.89459;-0.05373;-0.44365;0.06162;0.99809;0.00338;4.1521e+06;146.2;95.2;7.24;4790.036;-1.588;3.5588e-01;9;0.2274;1.7296e+06;25.4;3.0;0.858;1161.8;4.8253e-06
1;23:04:19:16:05:34;230734.0;0.2818;335235.0;4263063.1;515.7;62.29;53.28;9.51;0.87878;-0.11109;-0.46412;0.12381;0.99230;-0.00310;2.6607e+07;177.6;102.2;6.25;47720.693;-1.050;2.3546e+01;11;0.3109;9.9701e+06;37.7;8.5;0.880;1501.9;3.5776e-06
1;23:04:19:16:05:55;230755.0;0.9603;335222.8;4263111.2;509.0;62.32;31.25;9.50;0.85744;-0.19712;-0.47534;0.21511;0.97644;-0.01690;8.2145e+07;196.6;95.2;6.21;149920.758;-0.724;2.2838e+02;11;0.3327;3.7449e+07;50.7;16.0;0.890;1503.2;4.3357e-06
1;23:04:19:16:06:10;230770.0;0.9607;335421.9;4263043.9;583.6;67.31;31.11;8.99;0.95529;-0.17499;-0.23835;0.17781;0.98402;-0.00977;2.5155e+06;208.2;123.0;5.09;8338.709;-1.733;4.1403e-01;9;0.2953;6.3818e+05;42.6;5.8;0.834;1509.4;1.9557e-06
1;23:04:19:16:06:19;230779.0;0.2706;335418.7;4263063.3;232.6;64.19;57.92;9.54;0.88000;-0.19847;-0.43153;0.20978;0.97751;-0.02178;1.6381e+06;147.1;110.1;6.66;2421.850;-1.857;7.2245e-02;10;0.2486;1.5018e+06;18.5;2.7;0.701;1173.7;2.5546e-06
