station northing easting depth
DAS143 4262994.000108605 335782.09998680453 145.86
DAS144 4262994.000108605 335782.09998680453 146.88
DAS145 4262994.000108605 335782.09998680453 147.9
DAS146 4262994.000108605 335782.09998680453 148.92000000000002
DAS147 4262994.000108605 335782.09998680453 149.94
DAS148 4262994.000108605 335782.09998680453 150.96
DAS149 4262994.000108605 335782.09998680453 151.98
DAS150 4262994.000108605 335782.09998680453 153.0
DAS151 4262994.000108605 335782.09998680453 154.02
DAS152 4262994.000108605 335782.09998680453 155.04
DAS153 4262994.000108605 335782.09998680453 156.06
DAS154 4262994.000108605 335782.09998680453 157.08
DAS155 4262994.000108605 335782.09998680453 158.1
DAS156 4262994.000108605 335782.09998680453 159.12
DAS157 4262994.000108605 335782.09998680453 160.14000000000001
DAS158 4262994.000108605 335782.09998680453 161.16
DAS159 4262994.000108605 335782.09998680453 162.18
DAS160 4262994.000108605 335782.09998680453 163.2
DAS161 4262994.000108605 335782.09998680453 164.22
DAS162 4262994.000108605 335782.09998680453 165.24
DAS163 4262994.000108605 335782.09998680453 166.26
DAS164 4262994.000108605 335782.09998680453 167.28
DAS165 4262994.000108605 335782.09998680453 168.3
DAS166 4262994.000108605 335782.09998680453 169.32
DAS167 4262994.000108605 335782.09998680453 170.34
DAS168 4262994.000108605 335782.09998680453 171.36
DAS169 4262994.000108605 335782.09998680453 172.38
DAS170 4262994.000108605 335782.09998680453 173.4
DAS171 4262994.000108605 335782.09998680453 174.42000000000002
DAS172 4262994.000108605 335782.09998680453 175.44
DAS173 4262994.000108605 335782.09998680453 176.46
DAS174 4262994.000108605 335782.09998680453 177.48
DAS175 4262994.000108605 335782.09998680453 178.5
DAS176 4262994.000108605 335782.09998680453 179.52
DAS177 4262994.000108605 335782.09998680453 180.54
DAS178 4262994.000108605 335782.09998680453 181.56
DAS179 4262994.000108605 335782.09998680453 182.58
DAS180 4262994.000108605 335782.09998680453 183.6
DAS181 4262994.000108605 335782.09998680453 184.62
DAS182 4262994.000108605 335782.09998680453 185.64000000000001
DAS183 4262994.000108605 335782.09998680453 186.66
DAS184 4262994.000108605 335782.09998680453 187.68
DAS185 4262994.000108605 335782.09998680453 188.70000000000002
DAS186 4262994.000108605 335782.09998680453 189.72
DAS187 4262994.000108605 335782.09998680453 190.74
DAS188 4262994.000108605 335782.09998680453 191.76
DAS189 4262994.000108605 335782.09998680453 192.78
DAS190 4262994.000108605 335782.09998680453 193.8
DAS191 4262994.000108605 335782.09998680453 194.82
DAS192 4262994.000108605 335782.09998680453 195.84
DAS193 4262994.000108605 335782.09998680453 196.86
DAS194 4262994.000108605 335782.09998680453 197.88
DAS195 4262994.000108605 335782.09998680453 198.9
DAS196 4262994.000108605 335782.09998680453 199.92000000000002
DAS197 4262994.000108605 335782.09998680453 200.94
DAS198 4262994.000108605 335782.09998680453 201.96
DAS199 4262994.000108605 335782.09998680453 202.98
DAS200 4262994.000108605 335782.09998680453 204.0
DAS201 4262994.000108605 335782.09998680453 205.02
DAS202 4262994.000108605 335782.09998680453 206.04
DAS203 4262994.000108605 335782.09998680453 207.06
DAS204 4262994.000108605 335782.09998680453 208.08
DAS205 4262994.000108605 335782.09998680453 209.1
DAS206 4262994.000108605 335782.09998680453 210.12
DAS207 4262994.000108605 335782.09998680453 211.14000000000001
DAS208 4262994.000108605 335782.09998680453 212.16
DAS209 4262994.000108605 335782.09998680453 213.18
DAS210 4262994.000108605 335782.09998680453 214.20000000000002
DAS211 4262994.000108605 335782.09998680453 215.22
DAS212 4262994.000108605 335782.09998680453 216.24
DAS213 4262994.000108605 335782.09998680453 217.26
DAS214 4262994.000108605 335782.09998680453 218.28
DAS215 4262994.000108605 335782.09998680453 219.3
DAS216 4262994.000108605 335782.09998680453 220.32
DAS217 4262994.000108605 335782.09998680453 221.34
DAS218 4262994.000108605 335782.09998680453 222.36
DAS219 4262994.000108605 335782.09998680453 223.38
DAS220 4262994.000108605 335782.09998680453 224.4
DAS221 4262994.000108605 335782.09998680453 225.42000000000002
DAS222 4262994.000108605 335782.09998680453 226.44
DAS223 4262994.000108605 335782.09998680453 227.46
DAS224 4262994.000108605 335782.09998680453 228.48000000000002
DAS225 4262994.000108605 335782.09998680453 229.5
DAS226 4262994.000108605 335782.09998680453 230.52
DAS227 4262994.000108605 335782.09998680453 231.54
DAS228 4262994.000108605 335782.09998680453 232.56
DAS229 4262994.000108605 335782.09998680453 233.58
DAS230 4262994.000108605 335782.09998680453 234.6
DAS231 4262994.000108605 335782.09998680453 235.62
DAS232 4262994.000108605 335782.09998680453 236.64000000000001
DAS233 4262994.000108605 335782.09998680453 237.66
DAS234 4262994.000108605 335782.09998680453 238.68
DAS235 4262994.000108605 335782.09998680453 239.70000000000002
DAS236 4262994.000108605 335782.09998680453 240.72
DAS237 4262994.000108605 335782.09998680453 241.74
DAS238 4262994.000108605 335782.09998680453 242.76
DAS239 4262994.000108605 335782.09998680453 243.78
DAS240 4262994.000108605 335782.09998680453 244.8
DAS241 4262994.000108605 335782.09998680453 245.82
DAS242 4262994.000108605 335782.09998680453 246.84
DAS243 4262994.000108605 335782.09998680453 247.86
DAS244 4262994.000108605 335782.09998680453 248.88
DAS245 4262994.000108605 335782.09998680453 249.9
DAS246 4262994.000108605 335782.09998680453 250.92000000000002
