Id;evtno;Lat;Lon;Depth;sta1;tstp1;tP1;sta2;tstp2;tP2;
#69;69;38.471573430076546;-112.87030191323866;0.4720198883149178;S3;0.757147;2022-04-16 00:11:30;S0;0.764718;2022-04-16 00:11:30;
#70;70;38.47294292832499;-112.86842430497285;0.6071825134538614;S3;0.771293;2022-04-16 00:11:40;S0;0.778274;2022-04-16 00:11:40;
#71;71;38.472397089278125;-112.86932456568441;0.8233124401762292;S3;0.736223;2022-04-16 00:11:50;S0;0.744021;2022-04-16 00:11:50;
#72;72;38.47268815249684;-112.86930652478087;0.5149547078251443;S3;0.763999;2022-04-16 00:12:00;S0;0.77136;2022-04-16 00:12:00;
#73;73;38.47286134990309;-112.86924743103096;0.5776450303796113;S3;0.76347;2022-04-16 00:12:10;S0;0.77064;2022-04-16 00:12:10;
#74;74;38.47280412984729;-112.86903079514015;0.6993709462430814;S3;0.75815;2022-04-16 00:12:20;S0;0.765296;2022-04-16 00:12:20;
#75;75;38.4707437952852;-112.87232046639765;0.6834499458953007;S3;0.719043;2022-04-16 00:12:30;S0;0.726714;2022-04-16 00:12:30;
#76;76;38.47245268993816;-112.86918611676943;0.4077748731226205;S3;0.77163;2022-04-16 00:12:40;S0;0.779101;2022-04-16 00:12:40;
#77;77;38.4731277773203;-112.86899700872827;0.6065136322854114;S3;0.762495;2022-04-16 00:12:50;S0;0.769786;2022-04-16 00:12:50;
#78;78;38.47092024513235;-112.87028220167167;0.448912003411697;S3;0.756578;2022-04-16 00:13:00;S0;0.764383;2022-04-16 00:13:00;
#79;79;38.47085275113395;-112.87027641261795;0.44809748268676275;S3;0.757553;2022-04-16 00:13:10;S0;0.765323;2022-04-16 00:13:10;
#80;80;38.47097895670012;-112.87108129877869;0.5225125251544769;S3;0.740538;2022-04-16 00:13:20;S0;0.748464;2022-04-16 00:13:20;
#81;81;38.47166780202648;-112.8709439113433;0.48776959216268184;S3;0.746303;2022-04-16 00:13:30;S0;0.754138;2022-04-16 00:13:30;
